Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,48,940,117.7,114.4,3.3,66.1,2.29,20.8,28.3,72.6,50.9,0.1,56.9,60.1,98.76,52.8
M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,55,714,113.4,110.2,3.2,63,1.71,19.1,26.9,74.5,51.4,0.2,57,59.9,97.48,52
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,DET,39,491,115.5,109.4,6.1,59.3,1.82,19.1,34.7,75.9,55.5,0.2,55.6,58,103.18,53.7
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,37,450,109.3,104.1,5.2,56.8,1.89,16.2,31.1,75.3,51.9,0.1,49.1,53,100.34,51.1
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,37,435,114.1,102.2,11.9,69.7,2.49,21.2,22.9,78.1,52,0.1,57.1,60.4,101.58,57.2
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,SAC,28,431,114.9,114.7,0.2,64.3,2.58,20,26.2,73.9,49.2,0.1,54.2,57.9,103.63,50.5
A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,26,426,125,114.4,10.6,69.3,2.56,22.5,29.5,73.5,52.9,0.1,61.5,64.3,102.57,55.8
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,26,383,118.8,107.7,11.1,71.4,2.87,22.6,18.8,69.4,45.1,0.1,59.6,61.8,100.65,56
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,27,368,125.1,122.2,2.9,71.2,3.02,23.3,31,69.8,51,0.1,59.8,62.7,102.12,51.9
J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,BOS,24,357,114.1,114.1,0,68.5,2.44,20.4,20.5,74,47.6,0.1,55.4,58.6,103.05,50.9
J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,LAC,26,326,114.7,103.9,10.8,59.3,1.85,18.5,27.9,72.4,50.3,0.1,55.4,58.3,101.22,54.7
F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,HOU,27,323,107.3,114.9,-7.6,57.3,2.15,16.9,24.8,63.8,42.7,0.1,50.3,53.5,99.46,45.3
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,29,316,117,101,15.9,58.9,2.71,19.2,25.2,71.7,49.5,0.1,55.5,58.6,102.81,59
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,MIL,30,311,110.2,112.7,-2.5,62,1.76,18.9,23.6,77.4,50.6,0.1,57.1,58.6,101.61,49
J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,LAC,18,286,117.3,107.9,9.5,65.5,2.33,21.2,24,79.3,52.4,0.1,58.3,61,98.54,55.6
C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,ATL,26,282,111.5,111.7,-0.2,71.2,2.13,21.7,31,74.2,52.2,0.1,55.5,57.2,106.35,50.2
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,24,268,122.1,104.4,17.7,70.3,2.71,21.5,21.4,73.3,49.1,0.1,61.4,63.8,100.6,57.9
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,DET,21,261,119.8,122,-2.1,65.3,1.9,20.6,33.2,76.2,55,0.2,59.8,61.7,97.66,48.4
J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,POR,20,251,102.5,116.2,-13.6,60.2,1.64,16.4,28.7,69.8,48.1,0.1,47.9,51.6,99.34,42.4
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,67.5,1.9,19.8,23.5,77.7,51.1,0.1,55.2,57.9,107.56,48.3
T. Young - O. Okongwu - D. Daniels - M. Gueye - Z. Risacher,ATL,25,248,117.2,109.4,7.9,71.1,2.03,21.9,30.6,73.9,51.2,0.2,57.6,59.6,107.19,53
D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,22,243,118.9,106.4,12.5,65.7,1.99,20.3,31.5,76.2,54.8,0.1,58.2,61.1,103.92,55
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,25,222,127.8,101.4,26.4,53.6,2.02,18,33.8,78.8,57.6,0.1,58.4,62.5,108.66,61
C. McCollum - D. Murray - H. Jones - T. Murphy III - Y. Missi,NOP,13,221,112.6,120.1,-7.5,61.7,1.64,18.4,30.6,69.3,49,0.2,55.1,58.9,102.16,45.1
D. DeRozan - Z. LaVine - D. Sabonis - K. Murray - K. Ellis,SAC,16,220,112.6,113.5,-0.9,61,2.13,19.7,19.1,75.3,48.5,0.1,57.4,59.8,97.31,51.2
C. Joseph - K. Caldwell-Pope - W. Carter Jr. - F. Wagner - P. Banchero,ORL,16,216,116,104.6,11.5,59.5,2.08,18.6,23.9,74,48.9,0.1,55.4,58.8,96.39,54.3
R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,MIN,36,213,115.4,110.8,4.6,62.4,1.79,18.4,37,68.7,53.9,0.1,56.6,59,100.05,54.2
S. Curry - J. Butler III - D. Green - M. Moody - B. Podziemski,GSW,21,211,120.6,104.2,16.4,77.9,2.45,22.8,26,76.2,51.2,0.1,59.2,63.5,103.88,60.7
K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,WAS,17,208,86.7,120.3,-33.5,63.6,1.43,15.7,18.5,73,42.6,0.1,44.4,46.4,108.15,31.5
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - K. Kuzma,MIL,14,205,113.4,109.1,4.3,58.4,1.82,18.6,23.5,78.7,53.3,0.1,58.1,60.6,102.97,52.6
D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,SAC,38,201,119.3,102.2,17.1,65.8,2.67,20.5,29.9,71.9,51.9,0.1,56.2,60,99.3,59.3
T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,DET,50,200,112.6,116.1,-3.5,59.7,1.64,17.9,23,77,50.5,0.1,58.5,63.3,107.87,49.3
L. James - A. Davis - R. Hachimura - A. Reaves - M. Christie,LAL,17,199,107.4,106.3,1.1,67.2,1.75,19.6,25.3,77.6,52.1,0.2,55,58.3,103.43,53.2
D. Mitchell - J. Allen - D. Garland - D. Wade - E. Mobley,CLE,21,197,120.1,112.4,7.7,63,2.43,20.7,23.2,70.5,47.9,0.1,59.2,61.7,101.08,53.6
D. DeRozan - Z. LaVine - D. Sabonis - M. Monk - K. Murray,SAC,15,196,114.6,123,-8.4,61.2,1.81,18.7,31.3,78.4,54.9,0.1,56,59.3,102.73,46.3
L. Markkanen - J. Collins - C. Sexton - W. Kessler - K. George,UTA,14,196,123.5,116.1,7.4,63,1.53,19.3,40.7,79.6,61.1,0.2,61.5,64.6,100.4,53.2
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,20,193,124.8,102.9,21.8,65.9,2.76,22.4,29.1,82.7,57,0.1,60.9,63.2,103.11,61.2
